CFSR,Station
0.23288443,3.4
2.013516502,0.5
0.948468697,0
3.951429991,3.3
0.019912607,5.9
0.450936058,7
3.04069041,1
0.257712333,0
0.559780873,0
0.506908554,0
0,7.2
8.449293137,0
0.074811845,0
0.785037945,0.2
0.067115698,0.9
9.759846261,2.8
10.05176233,12
0.030567662,5.8
0.49242721,0.2
0,2.5
3.273674507,0.2
0,2
0,3
0.151838308,0
0.317632766,4.3
0.006885663,5.5
13.47061214,6.2
0.198186356,0
0.211667682,0
0.132751399,0.5
0.099283884,0.4
0.520646803,1.1
0.673540505,0
0.722641098,0
0,2
0.028575215,0
0.38166948,0
0.047956533,0
3.380116307,1.1
0.296908339,0
0.220141433,7.4
3.535845974,0
0.017958553,0
1.316781091,5
0.113892811,0
6.851658422,0
3.582712385,5.3
0.046990014,7.3
0.005582974,2.4
0.155467025,13.1
0.677047181,0
0.763415007,0
0.204788187,0
0.002791485,0
0.737646856,0
0,0
4.442190735,0
0.30178763,2
0.427674441,0
1.296644981,1.3
0.553644728,10.2
0.15168807,5
0.864985378,0
0.00629015,2.1
0.679333647,0.2
0.046317663,0
2.86795353,0
0.048199679,0
4.22877216,0
0.460272056,0
0.006603514,4.6
8.817943749,0
0.016097569,5.2
0.953697016,8
0.00558297,0
0.094929108,0
2.511740531,3.5
0.686463126,0
0.00186099,0.5
2.370665118,0
0.113148286,0
0.889138596,0
0.030376177,0.8
0.064018075,0
1.553102831,5.3
0.021401395,0
2.386271381,0
0.330725943,0
0.055224908,0
1.623853199,10.5
0.400671268,11.9
0.438896036,10.5
0.698378198,0.4
0.028938405,0.2
0.24654415,0
0.002791485,0
5.204667798,1
0.639250371,0
1.858382351,0
0.150516842,3.2
0.01432963,0
7.240678208,0
0.127384882,6.7
2.304395587,10
0.02279713,0.2
2.992646036,0
3.595111099,1.1
7.134153619,8.3
0,0.4
3.574677155,0.3
3.543551374,0
0.29652911,0
0,0
0.019819546,0
1.719923365,2
0.031822933,0
0.20489508,0
0.087373557,0
0.767321302,0
2.246305628,0
0.158044619,0.3
0.049271244,8.9
0.206439159,2.1
1.490594224,25.2
0.030706342,0
0.076435692,0
0.335400882,0
0.502374347,9.2
0.432342753,0
0.87663578,0
0,0
4.228002011,0
0.044700999,2.2
0.539698049,2
0.025402521,0
5.358214258,0
1.137326333,4.2
1.58284564,6
0,0
1.199897927,1.1
2.789555822,6.9
0.041648989,7
0.053038247,0
0.470103918,0
0.890150183,6.2
1.097444663,6.9
0.008374459,0
0,0
0.127208074,0
0.427209259,0
0.007443968,0
0.135182366,5.4
0.359007292,3.5
3.799470119,16.6
1.319333689,0
0.064357914,0
0,0
0.006513469,3
0.009304956,0
0.140663089,0
0.000930495,0
1.887081472,0
0.028194011,0
0.213100695,5
0.131897696,0.2
6.167469912,0.8
2.279755661,1.3
0.034428324,0
0.005582974,2.3
0.61141908,0
0.99139747,1.7
2.640009667,20
0.153624835,24.5
0.013976037,0
0.523215749,2
0.017028063,0
0.03493859,0
0.002791485,0
0.309776326,0
1.418606257,0
0.00186099,3.1
0.915135594,0.5
0.028454543,7.6
1.280710719,0
1.826424724,0
1.237979794,0
0,0
0.554500942,6.4
0.109658915,0
0.002047089,6.3
0.106113675,0
2.819949768,0
5.939222767,0
1.762692293,9
0.467704313,1
0.413325363,1
2.461301216,4.7
0,1.4
0.549643701,0.2
0.0792596,0.9
0.12038627,0
12.23882103,10.5
0.139388379,0
0,3.6
0.45307501,1.5
0.144226647,0
0.035358811,0
0.009304952,0
1.278060988,8.5
1.770133002,0
0.082811149,9.8
19.63350687,0.2
0,3
1.77517424,1
1.045607891,0
3.499389513,2.1
0.034018922,0
2.147771757,0
0.103843341,0
0,0
0.009491051,3.4
0.920841117,0
0.024341755,0
6.461031646,7
0.049921079,0
2.881748045,0
1.949834344,10.6
1.173819677,0.3
0.845588335,0.5
0.015074025,14.9
0.397498018,0.9
1.108655601,0
0.002791487,0
0.057843815,1.2
0.016711694,1.3
0.61741126,12
0.385076182,5.4
0.886415988,2.5
2.060953579,10.6
3.333906488,9.7
0,0.1
25.07954534,0
0.368975847,0.9
1.380482884,0
1.090851103,0
0.798970197,7.4
0.116367759,0
2.089981957,0
8.416905216,6.3
0.027635716,0
0,6.7
0.098074248,0
0.16773772,0
4.571694619,4
0.00186099,5.4
7.033711378,0
6.561236678,15.6
0.005973181,0.3
0.010235441,9.9
0.00558297,0.7
0.095245441,5.5
2.229366005,0
0.249529525,0
1.262510544,0.7
0.074063816,0
1.264280334,0
0.102411528,0
0.356584344,3
0.199877879,6
2.014226915,10.4
0.040011311,0
2.848324443,0
0.000660351,0
1.554338444,2.1
0.42514342,0
0.77009516,2
0.406384042,0
2.454451651,0
6.373210378,8.2
0.002047089,0
0.026053864,4.1
0.00186099,0
0.35801616,0
4.689794379,8
1.104188888,4
5.058603874,0
11.54620087,18.2
0.389701711,1.2
0,0
0.08350986,0.2
2.039028474,7.5
0.482746603,0
0.08056287,1
0.145926302,0
1.517758123,0
0.325235009,0.9
0.004652477,0
0.178655084,2.3
0.017589361,0
1.101026407,7.6
0.005769073,0
2.650888251,0.3
0.072671663,0
0.172699954,0
3.298298826,0
0.170280673,3.1
1.361163374,0
0.031774869,0
7.128909751,13.3
0.00372198,0
2.60009265,0
0,0
0.087280419,0
4.590606633,2
3.064474803,2
0.814152523,2
